display_name,field_name,value_text,source_url,extraction_method,confidence,collected_at
Georgios-Ak/EEGNet_Identification_Model,asc_32_status,non,rule://asc-32-channel-compatibility-v1,deterministic_compatibility_rule,faible,2026-08-20T17:44:55.669299+00:00
Georgios-Ak/EEGNet_Identification_Model,preprocessing,Batch normalization | 1. Bandpass filtering (1–40 Hz) | 2. Resampling to 160 Hz | 4. Channel name normalization,https://huggingface.co/Georgios-Ak/EEGNet_Identification_Model/resolve/83940949cb4b04ca05cbba3112990ad5f4f29273/README.md,readme_preprocessing_lines,faible,2026-08-20T17:44:55.669287+00:00
Georgios-Ak/EEGNet_Identification_Model,sampling_frequency,160.0,https://huggingface.co/Georgios-Ak/EEGNet_Identification_Model/resolve/83940949cb4b04ca05cbba3112990ad5f4f29273/README.md,readme_regex,faible,2026-08-20T17:44:55.669268+00:00
Kkuntal990/test-eegnet-braindecode,asc_32_status,à adapter,rule://asc-32-channel-compatibility-v1,deterministic_compatibility_rule,moyenne,2026-08-20T17:44:59.884787+00:00
Kkuntal990/test-eegnet-braindecode,channel_count,22,https://huggingface.co/Kkuntal990/test-eegnet-braindecode/resolve/cc39574a294667e939a1755a888564ab553ac74f/config.json,json:n_chans,forte,2026-08-20T17:44:59.884756+00:00
Kkuntal990/test-eegnet-braindecode,sampling_frequency,250.0,https://huggingface.co/Kkuntal990/test-eegnet-braindecode/resolve/cc39574a294667e939a1755a888564ab553ac74f/config.json,json:sfreq,forte,2026-08-20T17:44:59.884769+00:00
Kkuntal990/test-eegnet-braindecode,timepoints,1000,https://huggingface.co/Kkuntal990/test-eegnet-braindecode/resolve/cc39574a294667e939a1755a888564ab553ac74f/config.json,json:n_times,forte,2026-08-20T17:44:59.884778+00:00
Kkuntal990/test-eegnet-braindecode,window_duration,4.0,https://huggingface.co/Kkuntal990/test-eegnet-braindecode/resolve/cc39574a294667e939a1755a888564ab553ac74f/config.json,calculated:n_timepoints/sfreq,moyenne,2026-08-20T17:44:59.884741+00:00
PierreGtch/EEGNetv4/EEGNetv4_AlexMI,asc_32_status,à adapter,rule://asc-32-channel-compatibility-v1,deterministic_compatibility_rule,moyenne,2026-08-20T17:44:55.301161+00:00
PierreGtch/EEGNetv4/EEGNetv4_AlexMI,channel_count,3,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_AlexMI/kwargs.pkl,pickletools:in_chans,forte,2026-08-20T17:44:55.301127+00:00
PierreGtch/EEGNetv4/EEGNetv4_AlexMI,timepoints,385,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_AlexMI/kwargs.pkl,pickletools:input_window_samples,forte,2026-08-20T17:44:55.301147+00:00
PierreGtch/EEGNetv4/EEGNetv4_BNCI2014001,asc_32_status,à adapter,rule://asc-32-channel-compatibility-v1,deterministic_compatibility_rule,moyenne,2026-08-20T17:44:55.303979+00:00
PierreGtch/EEGNetv4/EEGNetv4_BNCI2014001,channel_count,3,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_BNCI2014001/kwargs.pkl,pickletools:in_chans,forte,2026-08-20T17:44:55.303945+00:00
PierreGtch/EEGNetv4/EEGNetv4_BNCI2014001,timepoints,385,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_BNCI2014001/kwargs.pkl,pickletools:input_window_samples,forte,2026-08-20T17:44:55.303965+00:00
PierreGtch/EEGNetv4/EEGNetv4_BNCI2014004,asc_32_status,à adapter,rule://asc-32-channel-compatibility-v1,deterministic_compatibility_rule,moyenne,2026-08-20T17:44:55.306722+00:00
PierreGtch/EEGNetv4/EEGNetv4_BNCI2014004,channel_count,3,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_BNCI2014004/kwargs.pkl,pickletools:in_chans,forte,2026-08-20T17:44:55.306687+00:00
PierreGtch/EEGNetv4/EEGNetv4_BNCI2014004,timepoints,385,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_BNCI2014004/kwargs.pkl,pickletools:input_window_samples,forte,2026-08-20T17:44:55.306707+00:00
PierreGtch/EEGNetv4/EEGNetv4_BNCI2015001,asc_32_status,à adapter,rule://asc-32-channel-compatibility-v1,deterministic_compatibility_rule,moyenne,2026-08-20T17:44:55.309988+00:00
PierreGtch/EEGNetv4/EEGNetv4_BNCI2015001,channel_count,3,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_BNCI2015001/kwargs.pkl,pickletools:in_chans,forte,2026-08-20T17:44:55.309945+00:00
PierreGtch/EEGNetv4/EEGNetv4_BNCI2015001,timepoints,385,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_BNCI2015001/kwargs.pkl,pickletools:input_window_samples,forte,2026-08-20T17:44:55.309971+00:00
PierreGtch/EEGNetv4/EEGNetv4_BNCI2015004,asc_32_status,à adapter,rule://asc-32-channel-compatibility-v1,deterministic_compatibility_rule,moyenne,2026-08-20T17:44:55.313485+00:00
PierreGtch/EEGNetv4/EEGNetv4_BNCI2015004,channel_count,3,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_BNCI2015004/kwargs.pkl,pickletools:in_chans,forte,2026-08-20T17:44:55.313450+00:00
PierreGtch/EEGNetv4/EEGNetv4_BNCI2015004,timepoints,385,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_BNCI2015004/kwargs.pkl,pickletools:input_window_samples,forte,2026-08-20T17:44:55.313470+00:00
PierreGtch/EEGNetv4/EEGNetv4_Cho2017,asc_32_status,à adapter,rule://asc-32-channel-compatibility-v1,deterministic_compatibility_rule,moyenne,2026-08-20T17:44:55.316032+00:00
PierreGtch/EEGNetv4/EEGNetv4_Cho2017,channel_count,3,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_Cho2017/kwargs.pkl,pickletools:in_chans,forte,2026-08-20T17:44:55.315999+00:00
PierreGtch/EEGNetv4/EEGNetv4_Cho2017,timepoints,385,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_Cho2017/kwargs.pkl,pickletools:input_window_samples,forte,2026-08-20T17:44:55.316017+00:00
PierreGtch/EEGNetv4/EEGNetv4_Lee2019_MI,asc_32_status,à adapter,rule://asc-32-channel-compatibility-v1,deterministic_compatibility_rule,moyenne,2026-08-20T17:44:55.318354+00:00
PierreGtch/EEGNetv4/EEGNetv4_Lee2019_MI,channel_count,3,https://huggingface.co/PierreGtch/EEGNetv4/resolve/33f06d333678bbdad928055aa1ff0544e8573fea/EEGNetv4_Lee2019_MI/kwargs.pkl,pickletools:in_chans,forte,2026-08-20T17:44:55.318326+00:00
