epoch,train_window_loss,train_window_accuracy,validation_window_loss,validation_window_accuracy,validation_participant_loss,validation_participant_accuracy
1,0.5322404342849238,0.7017006802721089,0.6495048403739929,0.6795454545454546,0.5782685358374394,0.6931818181818182
2,0.3933074457304818,0.8217687074829932,0.6308652758598328,0.7068181818181818,0.5246669969007449,0.75
3,0.3632074005344287,0.8404761904761905,0.599633514881134,0.7068181818181818,0.5163742782112188,0.7386363636363636
4,0.34789410205114457,0.8506802721088436,0.5736693739891052,0.7113636363636363,0.48476533505085795,0.7954545454545454
5,0.33232811411627294,0.861904761904762,0.5872032642364502,0.7204545454545455,0.48219774981565444,0.7954545454545454
6,0.3205547823589675,0.8574829931972789,0.705314040184021,0.6909090909090909,0.5743638870421588,0.7272727272727273
7,0.31775217879386175,0.8636054421768707,0.6139252185821533,0.7340909090909091,0.5053684082099839,0.7954545454545454
8,0.3042569318596198,0.8670068027210884,0.6414632201194763,0.7045454545454546,0.5210598468849696,0.7727272727272727
9,0.29535914050275774,0.8775510204081632,0.7051464915275574,0.6909090909090909,0.5183869762265038,0.7840909090909091
10,0.27686520630405065,0.882312925170068,0.6846866011619568,0.6954545454545454,0.5002810409734603,0.8181818181818182
