dyad_id,filename,file_mad_score,participant_index,channel_index,maximum_time_index,original_channel_max_absolute,replacement_channel_max_absolute,number_of_replaced_points
J1,J1_E002_C2_YO_S7_5A15.npy,5.752451982788687,1,5,1386,0.003544328734278679,5.2317260269774124e-05,5120
J1,J1_E040_C1_YF_S6_5A15.npy,4.426092690198552,1,25,1441,0.001824919949285686,4.9213373131351545e-05,5120
J4,J4_E030_C3_YF_S11_5A15.npy,4.022270384024794,0,29,3528,0.0014909779420122504,2.8899639801238663e-05,5120
J7,J7_E017_C5_YO_S1_25A35.npy,3.366817442284982,0,5,4345,0.0010740031721070409,3.612146610976197e-05,5120
J7,J7_E018_C5_YF_S1_5A15.npy,14.425274641765013,0,5,2047,0.2720264494419098,2.0418858184712008e-05,5120
J7,J7_E031_C4_YO_S12_25A35.npy,4.074935230782632,0,11,3441,0.0015307989669963717,3.206818291801028e-05,5120
J7,J7_E034_C4_YF_S12_5A15.npy,6.906204633019173,0,14,22,0.006314040161669254,1.79607086465694e-05,5120
J7,J7_E035_C4_YO_S12_25A35.npy,7.398898598886706,0,14,763,0.008079725317656994,2.3418495402438566e-05,5120
J7,J7_E036_C4_YF_S12_5A15.npy,6.0498130312384015,0,14,3183,0.004113076254725456,1.820246507122647e-05,5120
J7,J7_E037_C4_YO_S12_25A35.npy,6.7186457830541295,0,14,440,0.0057483152486383915,3.112537888227962e-05,5120
J7,J7_E040_C2_YO_S7_5A15.npy,6.008322213893892,0,14,4,0.0040285480208694935,4.753200846607797e-05,5120
J8,J8_E002_C2_YO_S7_5A15.npy,3.609276964804786,0,22,5055,0.0012125655775889754,5.548652188736014e-05,5120
J8,J8_E003_C2_YO_S7_25A35.npy,3.6386022289250533,0,26,11,0.001230493187904358,0.0001115934646804817,5120
