dyad_id,filename,participant,participant_index,channel_index,electrode,region,max_absolute,n_above_threshold
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,0,Fp1,frontal,0.00012214676826260984,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,1,AF3,frontal,7.772833487251773e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,2,F7,frontal,6.653952004853636e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,3,F3,frontal,4.884076042799279e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,4,FC1,frontal,3.2269672374241054e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,5,FC5,frontal,3.453794852248393e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,6,T7,temporal,4.267752592568286e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,7,C3,central,3.3729236747603863e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,8,CP1,parietal,3.0218645406421274e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,9,CP5,parietal,3.091995677095838e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,10,P7,parietal,3.491754978313111e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,11,P3,parietal,2.859884625650011e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,12,Pz,parietal,3.279327575000934e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,13,PO3,occipital,2.907163798226975e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,14,O1,occipital,2.7557167413760908e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,15,Oz,occipital,3.3114556572400033e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,16,O2,occipital,4.0507828089175746e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,17,PO4,occipital,3.526385626173578e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,18,P4,parietal,2.7710473659681156e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,19,P8,parietal,3.271353125455789e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,20,CP6,parietal,2.6065094061777927e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,21,CP2,parietal,2.6374364097137004e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,22,C4,central,2.5148678105324507e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,23,T8,temporal,5.197518112254329e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,24,FC6,frontal,3.877238486893475e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,25,FC2,frontal,3.2423380616819486e-05,0
J1,J1_E000_C1_YF_S6_5A15.npy,P1,0,26,F4,frontal,5.664815034833737e-05,0
