electrode,region,total_outlier_values,n_files_with_outliers,mean_max_absolute
FC5,frontal,3187,1,0.0004683619404177456
AF3,frontal,0,0,8.69627226472656e-05
Fp1,frontal,0,0,0.0001304004638354289
T7,temporal,0,0,5.396846606382878e-05
Pz,parietal,0,0,4.1040905003930845e-05
PO4,occipital,0,0,4.779762921101168e-05
PO3,occipital,0,0,4.319414836992599e-05
P8,parietal,0,0,4.849546293150885e-05
P7,parietal,0,0,4.468312468256604e-05
P4,parietal,0,0,4.2140575569862163e-05
P3,parietal,0,0,4.0931016218774646e-05
Oz,occipital,0,0,4.8819331433156474e-05
O2,occipital,0,0,5.651365838340103e-05
O1,occipital,0,0,0.0001001017030130942
Fz,frontal,0,0,6.0478755623462454e-05
Fp2,frontal,0,0,0.00013622659622536065
FC6,frontal,0,0,5.5712955110301176e-05
AF4,frontal,0,0,8.847640902683974e-05
FC2,frontal,0,0,5.768157127517387e-05
FC1,frontal,0,0,4.713000221245615e-05
F8,frontal,0,0,7.847519038703941e-05
F7,frontal,0,0,7.775680243608782e-05
F4,frontal,0,0,6.941854974700392e-05
F3,frontal,0,0,6.399942037458556e-05
Cz,central,0,0,4.0872885474742985e-05
CP6,parietal,0,0,4.229099233227919e-05
CP5,parietal,0,0,3.950256909532734e-05
CP2,parietal,0,0,3.902781623259022e-05
CP1,parietal,0,0,3.7234721768454726e-05
C4,central,0,0,4.6466693335986685e-05
C3,central,0,0,4.0637079666727036e-05
T8,temporal,0,0,5.172406382860992e-05
