epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.6947109167064939,0.4744897959183674,0.6929318363016302,0.5113636363636364
2,0.6910304985687036,0.5680272108843537,0.6927611523053863,0.5909090909090909
3,0.6895261897521765,0.6224489795918368,0.6926100206646052,0.5454545454545454
4,0.6881665999994797,0.685374149659864,0.6923857094212011,0.6136363636363636
5,0.6868835959304758,0.6700680272108843,0.6921337111429735,0.5909090909090909
6,0.6855635306462139,0.75,0.6920070472088727,0.6136363636363636
7,0.6843067623522817,0.7278911564625851,0.6918215243653818,0.5681818181818182
8,0.6831324803991382,0.7329931972789115,0.6916297288103537,0.625
9,0.6818801673496662,0.7227891156462585,0.6914257149804722,0.5909090909090909
10,0.6808355129292222,0.7363945578231292,0.6911907602440227,0.5909090909090909
11,0.6795775030745941,0.7074829931972789,0.6909882040186361,0.6022727272727273
12,0.6785092423765027,0.7397959183673469,0.6908330829306082,0.6136363636363636
13,0.677168760169931,0.7670068027210885,0.6906538327986543,0.625
14,0.6760658213273197,0.7755102040816326,0.6904614608396183,0.625
15,0.674851174358608,0.7755102040816326,0.690339943902059,0.625
16,0.6738180351906082,0.7602040816326531,0.690146492286162,0.6022727272727273
17,0.6726738597665515,0.7925170068027211,0.6899126077240164,0.6136363636363636
18,0.6716040370821141,0.7738095238095238,0.6897403591058471,0.6363636363636364
19,0.6706146925282316,0.7772108843537415,0.6896072355183688,0.625
20,0.6695131419264541,0.7772108843537415,0.6894455897537145,0.625
21,0.6683127013396244,0.7789115646258503,0.6892863512039185,0.6136363636363636
22,0.6672607794099924,0.7840136054421769,0.6892066421833906,0.625
23,0.666176074013418,0.7789115646258503,0.688937627456405,0.6363636363636364
24,0.6651836541436967,0.7789115646258503,0.6888441931117665,0.6363636363636364
25,0.6642275086673749,0.7721088435374149,0.6886497255076062,0.625
26,0.6632324707548635,0.7874149659863946,0.6885037056424401,0.625
27,0.6621682939886235,0.7806122448979592,0.688443820584904,0.6136363636363636
28,0.661111081944031,0.7857142857142857,0.6882876259359446,0.625
29,0.6601852689470563,0.7840136054421769,0.6881727081808177,0.625
30,0.6592075541919592,0.782312925170068,0.6880363916808908,0.625
31,0.6580749226062477,0.7908163265306123,0.687815597788854,0.6136363636363636
32,0.6571661945508451,0.782312925170068,0.6876095296307043,0.6363636363636364
33,0.6560203369174685,0.782312925170068,0.6875908300280571,0.625
34,0.6551100841793073,0.782312925170068,0.6874670813029463,0.6136363636363636
35,0.6542532540300265,0.7925170068027211,0.6874046474695206,0.625
36,0.6533515367175446,0.7891156462585034,0.6872084452347322,0.6363636363636364
