epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.6696635293960571,0.638,0.4728665348481048,0.6931818181818182
2,0.5492499148845673,0.74,0.30370502470230515,0.9318181818181818
3,0.4644720768928528,0.794,0.25765489219603216,0.9431818181818182
4,0.43907385379076,0.8,0.18548346181738784,0.9545454545454546
5,0.43576978757977486,0.794,0.19741157979958437,0.9431818181818182
6,0.4099451417475939,0.812,0.16879279928451235,0.9659090909090909
7,0.3904624719172716,0.82,0.17145686909895053,0.9659090909090909
8,0.38919260509312154,0.838,0.2292255802418698,0.9318181818181818
9,0.39435115292668343,0.836,0.1546012707350945,0.9431818181818182
10,0.3700324799865484,0.852,0.16179321871393107,0.9318181818181818
11,0.34243743259459736,0.852,0.1578922705216841,0.9431818181818182
12,0.33183734824880956,0.874,0.16519676582803103,0.9318181818181818
13,0.3149043021537363,0.864,0.15919146170331674,0.9431818181818182
14,0.3556194509938359,0.862,0.1618420658633113,0.9545454545454546
15,0.3501947395130992,0.848,0.1525059186387807,0.9545454545454546
16,0.33976747568696736,0.864,0.1853549152147025,0.9090909090909091
17,0.3155595350265503,0.862,0.15108426323753188,0.9545454545454546
18,0.3193699090369046,0.878,0.16806220269592648,0.9318181818181818
19,0.3263330448418856,0.88,0.18382268894294446,0.9204545454545454
20,0.3153553681448102,0.874,0.1778890788343481,0.9431818181818182
21,0.34915446445345877,0.866,0.1604160244618966,0.9431818181818182
22,0.30072750126942993,0.882,0.18258731640790674,0.9318181818181818
23,0.2978605542331934,0.878,0.21060651947151532,0.9090909090909091
24,0.27338206278160215,0.894,0.15459008555097337,0.9431818181818182
25,0.3121866137906909,0.874,0.13550828090360897,0.9545454545454546
26,0.3516274370625615,0.852,0.1712164264595644,0.9204545454545454
27,0.2780978360772133,0.882,0.14497344850943508,0.9431818181818182
28,0.35035277899354694,0.834,0.1985722094858912,0.9204545454545454
29,0.28357995426282284,0.88,0.15799000045411626,0.9431818181818182
30,0.2603229012712836,0.904,0.1532324276525866,0.9431818181818182
31,0.3100013891421258,0.874,0.15653705078346486,0.9318181818181818
32,0.31391460029408336,0.864,0.18467754902402786,0.9204545454545454
33,0.2724257591925561,0.89,0.15817572255830534,0.9318181818181818
34,0.27274201858788727,0.898,0.16791588146324185,0.9318181818181818
35,0.25856670120730996,0.896,0.19074534711597319,0.8863636363636364
36,0.3168414182588458,0.864,0.19935677556151693,0.9090909090909091
37,0.30623405598104,0.868,0.14697955021190204,0.9431818181818182
38,0.3364058536011726,0.852,0.16220028179867024,0.9318181818181818
39,0.2845739936456084,0.876,0.15689497214572673,0.9431818181818182
40,0.279931260086596,0.884,0.1395811778016981,0.9545454545454546
