epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.46810651555657384,0.796,0.9274939085272226,0.5113636363636364
2,0.443164564743638,0.798,0.5128141546791251,0.7613636363636364
3,0.39117402002215385,0.818,0.4955595823174173,0.8295454545454546
4,0.3702062413096428,0.844,0.6545172885737636,0.6590909090909091
5,0.3300686279684305,0.872,0.4200089762664654,0.7954545454545454
6,0.30216404631733895,0.876,0.4404494274746288,0.7840909090909091
7,0.3299550450593233,0.854,0.462747730484063,0.7954545454545454
8,0.28038273893296717,0.898,0.3626259942962365,0.8295454545454546
9,0.26254765687510373,0.886,0.6489575874399055,0.7272727272727273
10,0.2726371017098427,0.884,0.916361986045641,0.625
11,0.2597849447187036,0.89,0.5472964292222803,0.7727272727272727
12,0.3640277679823339,0.818,0.4630974992601709,0.7613636363636364
13,0.23019971101544798,0.888,0.30097264440899546,0.8409090909090909
14,0.2474556175433099,0.912,0.3376465628600933,0.7954545454545454
15,0.20716676243115217,0.912,0.3125948650254445,0.8863636363636364
16,0.2144226509705186,0.912,0.3178824092769487,0.8181818181818182
17,0.24012884095311166,0.91,0.3054241456768729,0.8409090909090909
18,0.22799744450487197,0.904,0.29306293998590927,0.8863636363636364
19,0.17202196566853672,0.936,0.33832396820864896,0.8522727272727273
20,0.22573726080125198,0.912,0.3839062669060447,0.7727272727272727
21,0.22298070891294627,0.924,0.3626980365846645,0.8068181818181818
22,0.19410164384637027,0.918,0.27546986751258373,0.875
23,0.2143067255942151,0.904,0.8353203004120257,0.6136363636363636
24,0.18239275966072455,0.934,0.34842653839256277,0.7954545454545454
25,0.16238300981000064,0.938,1.072439093798907,0.6818181818181818
26,0.17801232982426882,0.922,0.36988381118598307,0.8068181818181818
27,0.13602283486281522,0.956,0.37031979503279383,0.8295454545454546
28,0.17835897431941702,0.92,0.36943546987392684,0.7954545454545454
29,0.13017542933812365,0.942,0.33357054824856197,0.8181818181818182
30,0.13477770073688589,0.94,0.40520429805937136,0.8181818181818182
31,0.16022297251038253,0.936,0.31132566065273504,0.8181818181818182
32,0.1282182615296915,0.954,0.30202383298257535,0.8295454545454546
33,0.19976518651819788,0.922,0.8482604957323268,0.7045454545454546
34,0.13333708583842963,0.942,0.32811542079699313,0.8295454545454546
35,0.12690505936043336,0.95,0.40657383631068195,0.7954545454545454
36,0.16801011393778026,0.922,1.2612290112989617,0.625
37,0.10819700626656413,0.956,0.28839869403534313,0.8863636363636364
