layer_name,layer_type,input_shape,output_shape,parameters,trainable_parameters
temporal_block.0,Conv2d,"(1, 1, 32, 5120)","(1, 8, 32, 5120)",512,512
temporal_block.1,BatchNorm2d,"(1, 8, 32, 5120)","(1, 8, 32, 5120)",16,16
spatial_block.0,Conv2d,"(1, 8, 32, 5120)","(1, 16, 1, 5120)",512,512
spatial_block.1,BatchNorm2d,"(1, 16, 1, 5120)","(1, 16, 1, 5120)",32,32
spatial_block.2,ELU,"(1, 16, 1, 5120)","(1, 16, 1, 5120)",0,0
spatial_block.3,AvgPool2d,"(1, 16, 1, 5120)","(1, 16, 1, 1280)",0,0
spatial_block.4,Dropout,"(1, 16, 1, 1280)","(1, 16, 1, 1280)",0,0
separable_block.0,Conv2d,"(1, 16, 1, 1280)","(1, 16, 1, 1280)",256,256
separable_block.1,Conv2d,"(1, 16, 1, 1280)","(1, 16, 1, 1280)",256,256
separable_block.2,BatchNorm2d,"(1, 16, 1, 1280)","(1, 16, 1, 1280)",32,32
separable_block.3,ELU,"(1, 16, 1, 1280)","(1, 16, 1, 1280)",0,0
separable_block.4,AvgPool2d,"(1, 16, 1, 1280)","(1, 16, 1, 160)",0,0
separable_block.5,Dropout,"(1, 16, 1, 160)","(1, 16, 1, 160)",0,0
global_pool,AdaptiveAvgPool2d,"(1, 16, 1, 160)","(1, 16, 1, 1)",0,0
classifier,Linear,"(1, 16)","(1, 1)",17,17
