experiment,result_directory,validation_dyad,reported_best_epoch,history_selected_epoch,reported_best_validation_loss,history_selected_validation_loss,reported_accuracy_at_checkpoint,history_accuracy_at_selected_loss,early_stopping_min_delta,epoch_matches,loss_matches,accuracy_matches,checkpoint_exists,checkpoint_path,audit_passed
128 neurones,data_final_non_linear_hidden_128_dropout_0.0_standardized,J1,2,2,2.161750829290776,2.161750829290776,0.5119047619047619,0.5119047619047619,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_128_dropout_0.0_standardized/best_model_fold_J1.pt,True
128 neurones,data_final_non_linear_hidden_128_dropout_0.0_standardized,J2,2,2,2.233031391250816,2.233031391250816,0.6363636363636364,0.6363636363636364,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_128_dropout_0.0_standardized/best_model_fold_J2.pt,True
128 neurones,data_final_non_linear_hidden_128_dropout_0.0_standardized,J4,2,2,3.213700135153803,3.213700135153803,0.5113636363636364,0.5113636363636364,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_128_dropout_0.0_standardized/best_model_fold_J4.pt,True
128 neurones,data_final_non_linear_hidden_128_dropout_0.0_standardized,J5,2,2,2.940503985300893,2.940503985300893,0.5681818181818182,0.5681818181818182,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_128_dropout_0.0_standardized/best_model_fold_J5.pt,True
128 neurones,data_final_non_linear_hidden_128_dropout_0.0_standardized,J7,2,2,3.4493908422406423,3.4493908422406423,0.5568181818181818,0.5568181818181818,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_128_dropout_0.0_standardized/best_model_fold_J7.pt,True
128 neurones,data_final_non_linear_hidden_128_dropout_0.0_standardized,J8,2,2,2.802812016045209,2.802812016045209,0.59375,0.59375,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_128_dropout_0.0_standardized/best_model_fold_J8.pt,True
128 neurones,data_final_non_linear_hidden_128_dropout_0.0_standardized,J10,3,3,3.126431153579192,3.126431153579192,0.4886363636363636,0.4886363636363636,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_128_dropout_0.0_standardized/best_model_fold_J10.pt,True
128 neurones,data_final_non_linear_hidden_128_dropout_0.0_standardized,J15,2,2,3.589107144623995,3.589107144623995,0.5,0.5,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_128_dropout_0.0_standardized/best_model_fold_J15.pt,True
64 neurones,data_final_non_linear_hidden_64_dropout_0.0_standardized,J1,2,2,4.179697477940343,4.179697477940343,0.5238095238095238,0.5238095238095238,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_64_dropout_0.0_standardized/best_model_fold_J1.pt,True
64 neurones,data_final_non_linear_hidden_64_dropout_0.0_standardized,J2,4,4,3.5707543094388465,3.5707543094388465,0.5454545454545454,0.5454545454545454,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_64_dropout_0.0_standardized/best_model_fold_J2.pt,True
64 neurones,data_final_non_linear_hidden_64_dropout_0.0_standardized,J4,2,2,4.695338959742168,4.695338959742168,0.5340909090909091,0.5340909090909091,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_64_dropout_0.0_standardized/best_model_fold_J4.pt,True
64 neurones,data_final_non_linear_hidden_64_dropout_0.0_standardized,J5,5,5,4.019631225277077,4.019631225277077,0.5795454545454546,0.5795454545454546,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_64_dropout_0.0_standardized/best_model_fold_J5.pt,True
64 neurones,data_final_non_linear_hidden_64_dropout_0.0_standardized,J7,3,3,3.2180102184753525,3.2180102184753525,0.5454545454545454,0.5454545454545454,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_64_dropout_0.0_standardized/best_model_fold_J7.pt,True
64 neurones,data_final_non_linear_hidden_64_dropout_0.0_standardized,J8,2,2,3.524528555572033,3.524528555572033,0.546875,0.546875,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_64_dropout_0.0_standardized/best_model_fold_J8.pt,True
64 neurones,data_final_non_linear_hidden_64_dropout_0.0_standardized,J10,3,3,5.072107010944323,5.072107010944323,0.4886363636363636,0.4886363636363636,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_64_dropout_0.0_standardized/best_model_fold_J10.pt,True
64 neurones,data_final_non_linear_hidden_64_dropout_0.0_standardized,J15,2,2,4.1129862062199125,4.1129862062199125,0.5681818181818182,0.5681818181818182,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_64_dropout_0.0_standardized/best_model_fold_J15.pt,True
MLP non linéaire,data_final_non_linear_hidden_32_dropout_0.0_standardized,J1,6,6,3.4005372599654256,3.4005372599654256,0.5595238095238095,0.5595238095238095,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_32_dropout_0.0_standardized/best_model_fold_J1.pt,True
MLP non linéaire,data_final_non_linear_hidden_32_dropout_0.0_standardized,J2,2,2,3.5312327391213993,3.5312327391213993,0.625,0.625,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_32_dropout_0.0_standardized/best_model_fold_J2.pt,True
MLP non linéaire,data_final_non_linear_hidden_32_dropout_0.0_standardized,J4,3,3,4.677375120499081,4.677375120499081,0.5454545454545454,0.5454545454545454,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_32_dropout_0.0_standardized/best_model_fold_J4.pt,True
MLP non linéaire,data_final_non_linear_hidden_32_dropout_0.0_standardized,J5,2,2,4.996869224494069,4.996869224494069,0.5227272727272727,0.5227272727272727,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_32_dropout_0.0_standardized/best_model_fold_J5.pt,True
MLP non linéaire,data_final_non_linear_hidden_32_dropout_0.0_standardized,J7,8,8,5.454706317324466,5.454706317324466,0.5909090909090909,0.5909090909090909,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_32_dropout_0.0_standardized/best_model_fold_J7.pt,True
MLP non linéaire,data_final_non_linear_hidden_32_dropout_0.0_standardized,J8,3,3,5.0266644603107125,5.0266644603107125,0.53125,0.53125,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_32_dropout_0.0_standardized/best_model_fold_J8.pt,True
MLP non linéaire,data_final_non_linear_hidden_32_dropout_0.0_standardized,J10,3,3,5.484803450896751,5.484803450896751,0.5568181818181818,0.5568181818181818,0.0001,True,True,True,True,/Users/nini/ASC/models/data_final_non_linear_hidden_32_dropout_0.0_standardized/best_model_fold_J10.pt,True
