family,experiment,result_directory,number_of_folds,accuracy_mean,accuracy_std,accuracy_median,accuracy_q1,accuracy_q3,accuracy_min,accuracy_max,loss_mean,loss_std,checkpoint_selection
mlp_hidden_size,128 neurones,data_final_non_linear_hidden_128_dropout_0.0_standardized,8,0.5458772997835497,0.05185604341884222,0.5343614718614718,0.5085227272727273,0.5745738636363636,0.4886363636363636,0.6363636363636364,2.939590937185666,0.5230109665769995,minimum de validation_loss
mlp_hidden_size,64 neurones,data_final_non_linear_hidden_64_dropout_0.0_standardized,8,0.541506020021645,0.02772815704856312,0.5454545454545454,0.5315205627705628,0.5522017045454546,0.4886363636363636,0.5795454545454546,4.049131745451257,0.6188553617864962,minimum de validation_loss
mlp_hidden_size,32 neurones,data_final_non_linear_hidden_32_dropout_0.0_standardized,8,0.5596421807359306,0.03344218367431678,0.5511363636363635,0.5419034090909091,0.5673701298701299,0.5227272727272727,0.625,4.75387502789657,0.8441433754339123,minimum de validation_loss
mlp_dropout,"Dropout 0,0",data_final_non_linear_hidden_32_dropout_0.0_standardized,8,0.5596421807359306,0.03344218367431678,0.5511363636363635,0.5419034090909091,0.5673701298701299,0.5227272727272727,0.625,4.75387502789657,0.8441433754339123,minimum de validation_loss
mlp_dropout,"Dropout 0,2",data_final_non_linear_hidden_32_dropout_0.2_standardized,8,0.5649266098484849,0.037322962604233116,0.5643939393939394,0.5397727272727273,0.59375,0.515625,0.6136363636363636,5.110688507554764,0.47712086945142224,minimum de validation_loss
mlp_dropout,"Dropout 0,5",data_final_non_linear_hidden_32_dropout_0.5_standardized,8,0.5609780844155844,0.06567218093301687,0.5909090909090909,0.5539772727272727,0.5949675324675325,0.4375,0.6136363636363636,2.685060515318059,0.5551303248183631,minimum de validation_loss
architecture,MLP linéaire,experience_A_linear_standardized,8,0.5391132305194806,0.041707522039059586,0.5511363636363635,0.5085227272727273,0.5689935064935066,0.46875,0.5909090909090909,26.883737036005073,1.921429046520381,minimum de validation_loss
architecture,MLP non linéaire,data_final_non_linear_hidden_32_dropout_0.0_standardized,8,0.5596421807359306,0.03344218367431678,0.5511363636363635,0.5419034090909091,0.5673701298701299,0.5227272727272727,0.625,4.75387502789657,0.8441433754339123,minimum de validation_loss
architecture,Petit CNN,experience_A_small_cnn_standardized,8,0.8917748917748918,0.0462464515567565,0.8863636363636364,0.8664772727272727,0.91991341991342,0.8295454545454546,0.9545454545454546,0.27620322176238465,0.10163633225925853,minimum de validation_loss
architecture,EEGNet,experience_A_eegnet_standardized,8,0.8810792072510822,0.07545682698975402,0.8806818181818181,0.8380681818181819,0.9460227272727273,0.765625,0.9761904761904762,0.275334282247531,0.144579442573496,minimum de validation_loss
signal_jepa,Pré-entraîné — classifieur,data_signal_jepa_prelocal_19ch_128hz_2s_uv_signal_jepa_prelocal_pretrained_classifier_only_19ch_128hz_2s_microvolts_no_zscore_lr_0.005_batch_16_epochs_10_patience_5_seed_42,8,0.5716991341991342,0.06968974311168023,0.5681818181818181,0.5255681818181818,0.6233766233766234,0.4772727272727273,0.6704545454545454,0.6862827200411257,0.004629399813599319,minimum de validation_loss
signal_jepa,From scratch — complet,data_signal_jepa_prelocal_19ch_128hz_2s_uv_signal_jepa_prelocal_scratch_full_finetuning_19ch_128hz_2s_microvolts_no_zscore_lr_0.005_batch_16_epochs_10_patience_5_seed_42,8,0.8636955492424243,0.06137087886611217,0.8693181818181819,0.84375,0.9024621212121212,0.765625,0.9431818181818182,0.3649332444152796,0.11144333082971161,minimum de validation_loss
signal_jepa,Pré-entraîné — complet,data_signal_jepa_prelocal_19ch_128hz_2s_uv_signal_jepa_prelocal_pretrained_full_finetuning_19ch_128hz_2s_microvolts_no_zscore_lr_0.005_batch_16_epochs_10_patience_5_seed_42,8,0.8667140151515151,0.059427266379511914,0.8636363636363636,0.8167613636363636,0.9109848484848485,0.7954545454545454,0.9545454545454546,0.3489611971921684,0.10276455282511646,minimum de validation_loss
