validation_dyad,freeze_level,best_epoch,best_validation_loss,best_validation_accuracy,final_train_loss,final_train_accuracy,final_validation_loss,final_validation_accuracy,trainable_parameters,frozen_parameters,freeze_name,condition
J1,0,4,0.4903065587083499,0.7619047619047619,0.04359610476915258,0.9847972972972973,1.8297508738691075,0.6428571428571429,6738,0,fine_tuning_complet,pretrained
J2,0,2,0.7356357628648932,0.5909090909090909,0.03337202804798334,0.9897959183673469,2.8604697897522287,0.6363636363636364,6738,0,fine_tuning_complet,pretrained
J4,0,3,0.5048598531972278,0.7386363636363636,0.037383838041097656,0.9863945578231292,1.107780394535935,0.7386363636363636,6738,0,fine_tuning_complet,pretrained
J5,0,3,0.32201422369954263,0.8636363636363636,0.04957596472688012,0.9812925170068028,0.4549471852967806,0.875,6738,0,fine_tuning_complet,pretrained
J7,0,4,0.6381355879659002,0.6931818181818182,0.04931446671906731,0.9829931972789115,2.37999662282792,0.5568181818181818,6738,0,fine_tuning_complet,pretrained
J8,0,2,0.5548259452916682,0.75,0.06078166592232223,0.9738562091503268,2.0174802928522695,0.71875,6738,0,fine_tuning_complet,pretrained
J10,0,5,0.21989070340483027,0.9090909090909091,0.047836570121713294,0.9846938775510204,0.5220221419408673,0.8977272727272727,6738,0,fine_tuning_complet,pretrained
J15,0,5,0.630665157159621,0.7045454545454546,0.052072193635068494,0.9812925170068028,1.869966558858075,0.6363636363636364,6738,0,fine_tuning_complet,pretrained
J1,1,4,0.4738382777820031,0.75,0.07965493412141744,0.972972972972973,1.7061430619852174,0.6785714285714286,6210,528,freeze_temporal,pretrained
J2,1,1,0.7467250112782825,0.5,0.0732307020387415,0.9812925170068028,3.8774571547454055,0.5454545454545454,6210,528,freeze_temporal,pretrained
J4,1,4,0.5573667335239324,0.7045454545454546,0.0285274454228264,0.9931972789115646,1.0817079507396556,0.7386363636363636,6210,528,freeze_temporal,pretrained
J5,1,6,0.3653852731328119,0.8409090909090909,0.0549969091724633,0.9795918367346939,0.7721676679013233,0.7727272727272727,6210,528,freeze_temporal,pretrained
J7,1,2,0.6441913883794438,0.6363636363636364,0.030779932729391706,0.9897959183673469,1.8663462021980772,0.6022727272727273,6210,528,freeze_temporal,pretrained
J8,1,3,0.6443722420372069,0.671875,0.042880962390055635,0.988562091503268,2.999982597772032,0.625,6210,528,freeze_temporal,pretrained
J10,1,4,0.21716916671192105,0.9318181818181818,0.04048026994429029,0.9863945578231292,0.5701828993676993,0.8181818181818182,6210,528,freeze_temporal,pretrained
J15,1,3,0.6114818761971864,0.6590909090909091,0.042255658009293456,0.9829931972789115,1.3665935984304682,0.6704545454545454,6210,528,freeze_temporal,pretrained
J1,2,2,0.6528581863357907,0.6309523809523809,0.09637244171957522,0.9527027027027027,1.4213160895742476,0.7142857142857143,5666,1072,freeze_temporal_spatial,pretrained
J2,2,2,0.7487888850949027,0.5113636363636364,0.06810959387009034,0.9710884353741497,1.8932254294102842,0.5795454545454546,5666,1072,freeze_temporal_spatial,pretrained
J4,2,6,0.6944283616136421,0.6704545454545454,0.08101966394983441,0.9744897959183674,1.254705977880142,0.6363636363636364,5666,1072,freeze_temporal_spatial,pretrained
J5,2,5,0.3403914636000991,0.8863636363636364,0.07271669830451402,0.9744897959183674,0.7170132057455537,0.8068181818181818,5666,1072,freeze_temporal_spatial,pretrained
J7,2,3,0.6435434833507646,0.6363636363636364,0.0751619179269614,0.9693877551020408,2.1569180007685316,0.5795454545454546,5666,1072,freeze_temporal_spatial,pretrained
