validation_dyad,freeze_level,best_epoch,best_validation_loss,best_validation_accuracy,final_train_loss,final_train_accuracy,final_validation_loss,final_validation_accuracy,trainable_parameters,frozen_parameters,freeze_name,condition
J1,0,4,0.48691438635190326,0.7738095238095238,0.043918328249409985,0.9831081081081081,1.6171882064386627,0.6666666666666666,6738,0,fine_tuning_complet,pretrained
J2,0,2,0.7367848374626853,0.6363636363636364,0.02873798163951122,0.9948979591836735,3.2164686374704945,0.6136363636363636,6738,0,fine_tuning_complet,pretrained
J4,0,3,0.5092870684509928,0.7386363636363636,0.05046173345838223,0.9812925170068028,1.2202416215599938,0.6931818181818182,6738,0,fine_tuning_complet,pretrained
J5,0,3,0.3259671501053328,0.8522727272727273,0.04619305872217385,0.9829931972789115,0.46320960622363766,0.8409090909090909,6738,0,fine_tuning_complet,pretrained
J7,0,4,0.6579144927249714,0.6818181818181818,0.047096159275333525,0.9812925170068028,2.1631749299439518,0.5681818181818182,6738,0,fine_tuning_complet,pretrained
J8,0,2,0.551099912263453,0.75,0.04627412096527162,0.9787581699346405,2.191564823369845,0.71875,6738,0,fine_tuning_complet,pretrained
J10,0,5,0.2153764732224359,0.9204545454545454,0.0514915558109781,0.9829931972789115,0.461894516343653,0.875,6738,0,fine_tuning_complet,pretrained
J15,0,3,0.658484720709649,0.6363636363636364,0.04719781748118374,0.9863945578231292,1.6301100334597074,0.6477272727272727,6738,0,fine_tuning_complet,pretrained
J1,1,4,0.4878951934654088,0.7619047619047619,0.07475622524596573,0.972972972972973,1.7632091511040926,0.6904761904761905,6210,528,freeze_temporal,pretrained
J2,1,1,0.747289374132048,0.5,0.07895361547078977,0.9744897959183674,3.66959875178608,0.5454545454545454,6210,528,freeze_temporal,pretrained
J4,1,4,0.5578508656471968,0.7045454545454546,0.032754001499269596,0.9897959183673469,1.0325552198099268,0.7613636363636364,6210,528,freeze_temporal,pretrained
J5,1,6,0.3580643265846778,0.8409090909090909,0.05460163674714607,0.9795918367346939,0.6808175778728169,0.7954545454545454,6210,528,freeze_temporal,pretrained
J7,1,2,0.6433181976052847,0.6363636363636364,0.030381418113739483,0.9897959183673469,1.8345669548619876,0.6022727272727273,6210,528,freeze_temporal,pretrained
J8,1,3,0.6404394563287497,0.671875,0.04064017930738605,0.9918300653594772,2.9534843952860683,0.625,6210,528,freeze_temporal,pretrained
J10,1,4,0.21322736112316223,0.9318181818181818,0.039187607052003436,0.9880952380952381,0.5501501686515191,0.8181818181818182,6210,528,freeze_temporal,pretrained
J15,1,3,0.6132087721066042,0.6704545454545454,0.04389414554436346,0.9812925170068028,1.4302862662483344,0.6590909090909091,6210,528,freeze_temporal,pretrained
J1,2,2,0.653503319692044,0.6309523809523809,0.09474400029255382,0.956081081081081,1.4216306453260283,0.7142857142857143,5666,1072,freeze_temporal_spatial,pretrained
J2,2,2,0.7463556704196063,0.5227272727272727,0.06661405165005217,0.9778911564625851,1.9613147249275988,0.5795454545454546,5666,1072,freeze_temporal_spatial,pretrained
J4,2,6,0.693079362200065,0.6704545454545454,0.07905641558377562,0.9727891156462585,1.2654550894883208,0.6590909090909091,5666,1072,freeze_temporal_spatial,pretrained
J5,2,5,0.3359738312322985,0.8863636363636364,0.07211720661678332,0.9761904761904762,0.7103026758731258,0.8068181818181818,5666,1072,freeze_temporal_spatial,pretrained
J7,2,3,0.6396904172883793,0.6363636363636364,0.07529747376693009,0.9693877551020408,2.135749399323355,0.5795454545454546,5666,1072,freeze_temporal_spatial,pretrained
J8,2,3,0.7120844572782516,0.59375,0.09689220402989342,0.9640522875816994,2.0497242230921984,0.53125,5666,1072,freeze_temporal_spatial,pretrained
J10,2,4,0.4205010555345904,0.7954545454545454,0.08940896931326403,0.967687074829932,0.8942050486855971,0.7386363636363636,5666,1072,freeze_temporal_spatial,pretrained
J15,2,4,0.5794281099330295,0.7159090909090909,0.10298939307309027,0.9659863945578231,0.9551281978122212,0.7386363636363636,5666,1072,freeze_temporal_spatial,pretrained
J1,3,1,0.674849904009274,0.5476190476190477,0.23000859437082466,0.8969594594594594,1.428625158610798,0.6071428571428571,5122,1616,freeze_tout_sauf_classifieur,pretrained
J2,3,1,0.6950229507955638,0.5113636363636364,0.21492203124672124,0.9183673469387755,2.470354724336754,0.5,5122,1616,freeze_tout_sauf_classifieur,pretrained
J4,3,1,0.7081155736338008,0.4772727272727273,0.21105771442854676,0.9098639455782312,1.3089826191690834,0.5,5122,1616,freeze_tout_sauf_classifieur,pretrained
J5,3,5,0.5484353434294462,0.7272727272727273,0.2020555623675551,0.9166666666666666,0.9820236410437659,0.6704545454545454,5122,1616,freeze_tout_sauf_classifieur,pretrained
J7,3,1,0.7025072154673663,0.5,0.21037634698274946,0.9064625850340136,1.553218151358041,0.5340909090909091,5122,1616,freeze_tout_sauf_classifieur,pretrained
J8,3,1,0.6899146474897861,0.5,0.2099954276910627,0.9084967320261438,1.8653397499583662,0.5,5122,1616,freeze_tout_sauf_classifieur,pretrained
J10,3,4,0.6067447665740143,0.6477272727272727,0.18658538889591297,0.9200680272108843,1.0027749328450724,0.6477272727272727,5122,1616,freeze_tout_sauf_classifieur,pretrained
