validation_dyad,freeze_level,best_epoch,best_validation_loss,best_validation_accuracy,final_train_loss,final_train_accuracy,final_validation_loss,final_validation_accuracy,trainable_parameters,frozen_parameters,freeze_name,condition
J1,0,4,0.4991139569098041,0.7738095238095238,0.03290900423602629,0.9864864864864865,1.24187162358846,0.6785714285714286,6738,0,fine_tuning_complet,pretrained
J2,0,4,0.707312111319466,0.6931818181818182,0.03480004511551001,0.9846938775510204,3.302986983590844,0.6363636363636364,6738,0,fine_tuning_complet,pretrained
J4,0,3,0.5062314009463246,0.7386363636363636,0.03717775364429744,0.9863945578231292,1.067160432893698,0.7727272727272727,6738,0,fine_tuning_complet,pretrained
J5,0,3,0.31115124230696395,0.875,0.04798854119560149,0.9812925170068028,0.43037469384932014,0.875,6738,0,fine_tuning_complet,pretrained
J7,0,4,0.6591068201444366,0.6704545454545454,0.037748609664428535,0.9880952380952381,2.1207477389411493,0.5340909090909091,6738,0,fine_tuning_complet,pretrained
J8,0,2,0.5563477366231382,0.765625,0.05082015845403541,0.9771241830065359,2.21140991023276,0.640625,6738,0,fine_tuning_complet,pretrained
J10,0,9,0.20256836702901637,0.9090909090909091,0.04501947205298642,0.9846938775510204,0.6521508118722853,0.8181818181818182,6738,0,fine_tuning_complet,pretrained
J15,0,5,0.6204443922774359,0.7045454545454546,0.044144858964357526,0.9812925170068028,1.9798480435274541,0.6590909090909091,6738,0,fine_tuning_complet,pretrained
J1,1,4,0.5153733369495187,0.7619047619047619,0.07529211075210991,0.9746621621621622,1.6763025515136265,0.6666666666666666,6210,528,freeze_temporal,pretrained
J2,1,1,0.7528246698731725,0.5,0.07874021215434522,0.9710884353741497,3.9240823577750814,0.5340909090909091,6210,528,freeze_temporal,pretrained
J4,1,4,0.5555149555544961,0.7045454545454546,0.04072204237771842,0.9863945578231292,1.0187329814176669,0.75,6210,528,freeze_temporal,pretrained
J5,1,6,0.3646011929324066,0.8409090909090909,0.05766764403012042,0.9829931972789115,0.6816719370796239,0.7954545454545454,6210,528,freeze_temporal,pretrained
J7,1,2,0.6475631421939894,0.6136363636363636,0.03230745349819885,0.9897959183673469,1.9458378726108507,0.5909090909090909,6210,528,freeze_temporal,pretrained
J8,1,3,0.6487279157154262,0.65625,0.0396322495799051,0.9918300653594772,2.858645625412464,0.625,6210,528,freeze_temporal,pretrained
J10,1,4,0.2157627459065142,0.9204545454545454,0.03836287555105894,0.9863945578231292,0.5143960756772272,0.8409090909090909,6210,528,freeze_temporal,pretrained
J15,1,3,0.6103040901097384,0.6704545454545454,0.04639989177202038,0.9812925170068028,1.2950467347082766,0.6818181818181818,6210,528,freeze_temporal,pretrained
J1,2,2,0.6427304201892444,0.6309523809523809,0.0929944727873049,0.9527027027027027,1.417358329608327,0.6904761904761905,5666,1072,freeze_temporal_spatial,pretrained
J2,2,2,0.753253011540933,0.5113636363636364,0.0682731937689526,0.9744897959183674,1.9704097170721402,0.5795454545454546,5666,1072,freeze_temporal_spatial,pretrained
J4,2,6,0.6926223630593582,0.6704545454545454,0.07772221768812038,0.9727891156462585,1.217759785962037,0.6704545454545454,5666,1072,freeze_temporal_spatial,pretrained
J5,2,5,0.34057870227843523,0.8863636363636364,0.07146303567914197,0.9761904761904762,0.7246970999509689,0.8181818181818182,5666,1072,freeze_temporal_spatial,pretrained
J7,2,3,0.6398938592861999,0.6363636363636364,0.07497367665398712,0.9693877551020408,2.077418010851199,0.5795454545454546,5666,1072,freeze_temporal_spatial,pretrained
